# NAME: Culberson graph. Specifications given below. Weights computed via the uniform distribution.
# COMMENT: DESCRIPTION: Quasi-random coloring problem
# CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca)
# Specifications:
# Random seed: 13185
# No hidden coloring
# Probability: 0.769218
# girth/degree-limited graph, girth 8, delta 1076, max 1311
# Degree Information:
# Min:4 Avg:6.512913 Max:14 Std:1.050756
# No verification required.
# Creation Date: Mon Apr 11 19:06:36 2016
# Weight distribution parameters: a=0.0; b=83.0; seed=1810.
# TYPE: Random Graphs
4453 14501
880 937 73.0586466152
271 938 32.883807172
676 938 55.7508698647
453 939 71.4073827891
572 939 29.21456753
631 939 13.1179379266
97 941 27.7388139263
243 941 55.1472377453
161 942 21.1925364426
615 942 12.3502271065
870 942 30.1427255421
552 943 18.5520044235
40 944 14.1625375505
599 944 68.7377638688
244 945 21.3164805589
726 945 33.9218076617
516 947 71.9184342371
449 949 31.9665142067
512 949 38.9988868956
571 949 77.4325139292
415 950 27.2470002513
679 952 31.3087376946
895 953 2.30644439728
77 954 69.3571058767
407 954 16.8454157972
603 954 46.3869147484
297 956 53.7659694727
467 957 46.5059908838
564 957 60.3255738171
123 958 45.6424836147
650 958 62.1232472586
44 959 59.9297342325
843 959 40.9235992669
143 960 53.284485914
440 960 67.9139098137
845 961 57.5304281556
946 964 7.02547699027
489 965 38.4918148637
912 965 56.8127010993
58 966 43.1851037617
760 966 38.6683133352
889 966 8.3642588601
281 969 13.8946239617
340 969 59.7274500879
600 969 47.7604769039
159 970 36.2169448606
266 971 20.9277706815
434 973 14.286969212
855 973 44.5655745348
466 974 63.9500106021
282 975 15.6413130136
937 975 59.4105835808
166 977 5.6420772602
354 977 62.5298631378
298 978 79.2081846303
759 978 67.7679078539
58 980 60.1493345286
701 980 56.7306181223
747 980 39.2371933948
977 981 2.67814694127
780 983 66.4304063655
511 984 23.4373730342
642 984 63.0785607017
782 984 5.35196025427
903 984 80.4716705156
622 985 53.0718238002
419 986 37.7927006355
502 986 54.7281371567
571 986 16.0052505182
470 988 29.5578652041
321 989 50.6859170404
196 990 45.9275514952
655 992 43.4099128309
130 993 81.2597253962
435 993 0.555358807609
616 993 10.4126363889
801 993 77.8144276223
355 994 67.5332728396
466 995 69.8302490964
18 997 18.930092533
209 998 2.30145150769
618 998 57.3325481594
982 998 40.7268315199
418 999 32.9681141295
867 1000 30.6485367534
670 1002 36.6121347875
308 1003 3.29342858397
538 1003 11.6518780245
70 1004 57.2067555109
731 1004 46.8675946272
815 1004 29.5361365524
398 1005 17.2678911115
546 1005 12.2293189771
167 1006 72.8699675328
188 1007 68.3748547645
641 1007 42.6932273173
456 1008 44.3424824589
917 1008 21.0924831711
358 1009 54.0047371801
458 1009 65.5348497216
75 1010 49.2042097922
87 1010 22.0401981492
521 1010 27.1542560348
396 1011 16.3528352466
713 1011 29.7903525025
610 1012 60.4566855756
908 1012 28.6838501554
985 1012 12.3723770616
986 1012 81.8664010867
708 1013 24.1944357112
78 1014 24.4649168888
904 1014 24.3364019622
534 1015 34.7475158544
707 1015 40.2966824854
192 1017 24.4572105563
822 1017 1.56392219465
353 1018 51.4072484859
730 1019 65.6922144133
996 1019 65.0602301277
80 1021 41.1297688149
112 1021 70.6907126035
602 1021 13.1970009486
678 1021 72.5733212855
112 1022 3.74325626112
206 1022 6.90850846469
309 1022 66.2156290885
519 1023 33.9042049243
4 1024 39.4420038157
75 1024 68.8774345158
967 1024 76.3060778848
465 1025 2.14565468661
781 1025 68.5705918394
644 1026 52.1467980171
329 1027 10.1344306173
495 1028 44.0941441751
858 1028 17.3320295789
5 1029 53.3151065856
743 1029 34.0286182633
172 1030 24.3147860604
821 1030 6.12823228916
447 1031 57.0942825399
822 1031 10.0757679802
855 1032 69.6181876063
439 1033 62.0607598195
702 1033 72.7846713132
787 1036 26.830305763
108 1037 72.4323445012
639 1037 4.68191128806
563 1038 51.9628950285
384 1039 42.1204430858
684 1039 30.5647549736
341 1040 47.414826559
196 1042 12.6023931274
635 1044 6.95435524488
884 1044 34.9646194489
393 1045 24.8914904228
868 1045 37.4275751872
884 1045 11.1254349474
254 1046 77.0859089309
809 1046 65.0239978915
124 1047 44.4645285477
392 1047 21.1705840756
273 1048 31.8264016956
558 1048 21.5908641912
263 1049 41.60366122
94 1050 62.0238383527
197 1050 12.3241920264
268 1050 5.80443615313
247 1051 47.9897653014
448 1051 6.70342115544
478 1052 45.7454754552
537 1053 47.2592665264
762 1053 82.55363348
107 1054 42.8781328843
108 1054 47.4490261307
231 1055 8.05393939807
426 1055 5.68916819453
171 1056 76.3277837215
787 1057 74.1012254745
234 1058 14.8194253721
685 1058 6.56732687861
29 1059 67.9904821427
685 1059 24.8900945025
1047 1059 69.5128260698
261 1061 46.1705914254
317 1061 53.3586281328
534 1061 51.5133650187
533 1063 47.8589956358
483 1065 64.9202359775
857 1065 40.803984264
266 1066 67.5165791884
759 1066 27.6157527791
410 1067 60.4308001189
959 1067 46.9097535712
79 1068 34.8434985956
628 1070 47.7484234698
856 1070 36.4196692757
646 1072 37.3941526928
1035 1072 2.25106404388
339 1073 70.7522615642
602 1074 53.7163334158
642 1074 49.0554718397
811 1074 53.2146736078
844 1074 62.3191872619
1058 1074 44.5566599605
859 1075 57.0024361988
476 1077 8.91678792195
959 1078 69.3713902948
661 1079 78.3375032813
204 1080 9.85190692938
793 1080 24.577156476
557 1081 68.5177165817
610 1082 70.5041122407
119 1084 28.1292199623
622 1084 46.1146679351
272 1085 66.9636856103
483 1085 25.051368226
1029 1085 73.0376302974
1 1087 32.515613328
434 1087 7.24809605886
478 1087 30.8678805517
724 1087 28.5876844657
1057 1087 17.8791378548
141 1088 27.6914623873
758 1088 38.8737304437
779 1089 40.3546740651
34 1091 1.95662290666
193 1091 39.5270550367
424 1091 24.4970664284
783 1091 35.04264957
1049 1092 63.1779696086
478 1093 80.2040364019
853 1093 8.37094994545
931 1093 66.4477630882
1033 1094 11.0867755688
33 1095 78.8420690541
624 1095 19.9545222795
830 1095 27.4625298107
769 1096 65.4100425059
108 1097 51.4509713504
950 1097 67.9186739546
62 1098 17.2343128052
572 1098 11.9988874351
505 1099 57.2421338592
802 1099 64.6901329227
570 1100 34.7011892825
916 1100 80.3096661055
1033 1100 34.1716684663
802 1101 76.0219800775
164 1102 76.3539316859
1001 1103 34.5639976942
321 1104 55.5397191416
234 1105 47.7054801081
239 1105 80.8394837511
223 1106 17.4329895825
497 1107 50.0911452772
1081 1107 22.7863847614
663 1108 20.875378743
617 1109 67.9374643151
49 1110 34.0570321616
315 1111 58.883484892
54 1112 61.4596569814
315 1112 19.9431514418
380 1112 53.917369945
370 1114 73.6700479552
979 1114 66.8551423431
379 1115 61.189321349
973 1116 74.2312911471
875 1117 48.3960009528
289 1118 2.56639913202
712 1118 55.618282184
1098 1119 13.6676882512
509 1120 4.30689873296
789 1121 58.7304954333
1089 1121 3.33973249054
450 1122 55.899659877
1019 1123 62.6697384627
627 1125 30.2454302433
169 1127 8.20629805366
357 1127 39.3823656043
960 1127 37.0502636002
348 1128 27.2530500591
1100 1129 43.7772561441
1086 1130 79.4977974715
812 1131 24.1375599968
75 1132 79.964044352
238 1133 17.2739416406
690 1133 58.0740249046
873 1133 43.5450075467
1114 1135 77.8314151971
3 1136 79.9117046214
81 1136 37.992664611
403 1138 37.7120126417
500 1139 65.9576403499
504 1139 48.8570902244
667 1139 71.1675568307
1054 1139 7.74565423841
328 1140 38.7590737257
750 1140 49.3151223191
967 1140 15.7432392839
636 1141 11.1314562911
769 1142 39.9441282223
979 1144 6.43061287094
366 1146 7.0572575008
729 1147 53.1012137163
910 1147 36.8872609047
964 1147 34.3193728092
1034 1147 28.3102304823
742 1148 16.245770161
968 1148 11.9460024993
704 1150 2.19474751417
179 1151 82.3713936851
425 1151 34.8762418818
670 1151 71.0668916794
1 1152 73.0482314326
227 1152 22.1304670844
443 1152 16.7233006058
535 1154 38.5295462503
678 1154 18.7706322092
1029 1154 75.8380640468
254 1155 44.7841120664
326 1155 5.35956313592
876 1155 50.9695556454
99 1156 5.64876441759
1104 1157 66.6782071963
1022 1158 67.7254001084
746 1159 40.4620233815
629 1160 81.8244160207
837 1160 65.6946948045
1073 1160 3.12216256377
746 1161 39.5620112108
1110 1161 7.14046227806
102 1162 27.2534733945
846 1162 67.7477969173
347 1163 56.2265009136
360 1163 24.8265180916
734 1164 43.0789584362
834 1164 72.1520186123
383 1165 46.6875822449
71 1166 12.7507532747
654 1166 10.9945825936
783 1166 55.5248933384
771 1167 15.4765134739
882 1167 38.656980514
1058 1169 7.20146919221
398 1171 17.3486751121
290 1172 55.5464801051
980 1172 63.2823494678
782 1173 42.3741450022
25 1174 23.431557246
418 1174 22.4818307172
842 1174 56.9123730068
962 1176 76.5919189249
206 1177 27.4950261483
623 1177 62.2460612146
100 1178 32.432842951
721 1178 5.56700903945
759 1178 70.4784067804
1065 1178 81.7039581247
1124 1178 4.97975788582
684 1179 42.9171322673
196 1181 77.3123901866
199 1181 16.3086369748
273 1182 1.85733769781
706 1182 32.2712895094
597 1183 79.2762854383
674 1183 8.16311402268
962 1184 15.0662473822
1136 1184 21.1900185144
133 1185 48.4239384295
782 1185 45.4659348687
1069 1185 66.0722802369
1159 1185 43.750658317
314 1187 31.1876935773
409 1187 71.1017914103
930 1187 17.6594157344
330 1188 18.4454226599
392 1188 51.9730051412
246 1189 60.1216744025
266 1189 31.4334010053
301 1189 26.0855713972
360 1190 45.9572281459
693 1190 9.69165884564
162 1191 39.356556021
523 1191 26.597871501
1109 1191 34.535086298
731 1192 75.0494150098
1064 1192 50.3216395948
1076 1192 29.6745549253
254 1193 61.3673987356
270 1193 7.91917869945
1027 1194 57.657763096
274 1195 45.5427965997
660 1195 29.0661353903
1115 1195 12.7442852975
148 1197 73.3327069771
741 1197 71.3788539314
877 1197 62.0893210035
209 1199 25.1753222822
889 1199 46.4981756618
934 1199 19.4469591638
528 1201 82.677018854
1130 1201 53.0773389037
1020 1202 39.9421682893
1054 1202 40.026293689
1146 1202 14.8638943697
430 1204 17.8237487647
649 1204 23.1773270724
12 1205 14.3261443441
5 1206 69.5022494155
147 1206 36.5692777668
862 1206 20.9309133712
1055 1206 41.2030559261
168 1207 34.8041273568
501 1207 56.3402163591
690 1207 65.8983793201
757 1210 1.55293437409
1134 1210 55.3499368215
488 1212 44.6114975957
617 1212 3.79245050758
69 1213 17.2003314509
878 1213 2.06345571679
506 1214 75.3674021324
1203 1214 25.0221022959
339 1215 47.8934562703
512 1215 71.6360770189
993 1216 67.894459645
454 1217 72.98167864
130 1218 61.3949185081
995 1218 29.0465910313
11 1219 79.7458596086
144 1219 74.3477219716
716 1219 72.343168101
962 1219 69.0042871264
24 1220 71.9434656523
323 1220 33.8392790651
333 1221 41.5122033389
493 1221 44.7011040474
809 1222 69.8376287268
1083 1222 32.4761433939
1116 1222 50.4710285276
327 1223 26.2325593922
492 1224 4.13612298471
71 1225 46.5668749193
510 1225 60.2901897615
935 1225 61.3656554808
298 1226 45.8481390064
304 1226 76.3504341457
718 1227 25.7999720789
727 1228 1.90681566443
971 1228 31.9042251013
1112 1228 33.0366654226
106 1229 41.883571506
265 1229 69.4885461749
955 1229 49.6364669445
1048 1229 39.2059267525
1149 1229 34.1534650138
634 1230 16.5789713431
453 1231 58.7828179686
965 1231 13.5741261701
1062 1231 60.1467455839
268 1232 52.5115618437
1046 1232 36.8563266533
219 1233 75.7822546626
480 1233 58.4606111609
1052 1233 69.1868274991
1232 1233 66.2290745464
134 1234 47.6258771045
253 1234 58.9111045503
392 1234 12.2193380069
813 1234 81.6330081223
376 1235 12.493427337
411 1237 17.4442010216
1006 1238 74.7338200979
1073 1239 16.7588239253
1165 1239 2.31864533763
680 1240 61.4735287086
185 1241 66.7185485473
38 1242 6.07302062819
76 1242 76.5284341181
418 1243 59.4460620389
952 1243 55.8516221545
318 1244 21.2879530342
926 1244 29.9154442165
1083 1245 52.6803456049
1130 1245 71.9006252463
262 1246 48.302738964
1056 1246 41.7689912974
1165 1246 63.5827176054
446 1247 28.5068543545
666 1248 55.7185818396
750 1248 23.6049111144
1123 1248 13.7577253829
956 1249 44.7195103378
1062 1249 57.9465679042
1100 1250 68.7594971387
102 1251 75.2513925903
233 1252 67.4539144746
1175 1252 72.762118838
352 1253 24.5923390958
491 1253 33.6273916209
641 1253 43.8924356972
955 1253 75.404682676
571 1254 70.1191903719
681 1254 2.78967043975
283 1255 26.7209218087
303 1256 77.5851484534
352 1256 61.030612062
806 1256 50.3922060088
277 1257 59.749529812
1187 1257 53.9535323851
305 1258 70.2996381208
113 1259 36.4056711909
871 1259 48.567168632
855 1260 28.8218461143
1232 1261 28.7184052637
861 1262 9.86491910138
433 1263 31.3472250017
465 1263 24.5342921707
510 1263 25.2475344339
758 1263 78.2925186951
541 1265 26.3357951187
8 1267 43.2638870385
134 1267 12.6968205862
18 1269 0.0878979000533
4 1270 51.9735388761
22 1270 81.8163548005
1268 1270 23.0365725565
338 1271 26.5941998284
305 1272 81.1033789548
636 1272 72.5091028194
288 1273 73.5642697688
560 1273 80.0384459062
580 1273 82.6209396024
210 1274 78.6519266027
254 1274 40.0837105947
1205 1274 67.8534911143
567 1276 11.83525751
1268 1276 81.7294580024
765 1277 61.0113242503
522 1278 27.9043842645
1094 1278 14.8160549139
1140 1278 78.8029694592
50 1279 66.1942506369
755 1279 75.6797228284
1072 1279 58.950483593
1140 1280 31.3565725744
634 1281 6.77748101992
706 1281 75.3923992627
697 1282 6.61656417013
914 1282 35.5907103817
1153 1282 13.3151991157
1050 1283 68.0479667188
316 1284 68.0500804566
1181 1284 0.644401893279
1057 1285 32.203370634
1265 1285 55.8005386811
623 1286 25.4560053578
1261 1287 63.829508006
790 1289 72.4229610457
920 1289 22.9906527529
998 1289 13.0927147061
1228 1289 11.5951114826
90 1290 28.5779304868
1065 1292 42.9976708702
659 1293 23.3419141093
940 1293 26.1092016655
144 1294 56.9001334402
220 1294 25.4239326834
282 1294 54.5563603923
1 1296 64.5879897009
379 1297 11.7018016156
542 1297 30.7930053906
577 1298 47.4374448528
1216 1298 30.2840959741
16 1299 82.4064996139
